index,qTypeRaw,qType,story,question,char1,char2,perceivers,story_with_perceivers,persp_ctx,cands,answer
61,second_order_1_tom,second_order_tom,"['Noah entered the kitchen', 'Mila entered the kitchen', 'The pineapple is in the treasure chest', 'The treasure chest is in the kitchen', 'Mila exited the kitchen', 'Mila loves the apple', 'Benjamin entered the kitchen', 'Noah moved the pineapple to the crate', 'The crate is in the kitchen', 'Noah exited the kitchen', 'Mila entered the den']",Where does Mila think that Noah searches for the pineapple?,Mila,Noah,"[['Noah'], ['Mila', 'Noah'], ['Noah', 'Mila'], ['Noah', 'Mila'], ['Mila', 'Noah'], ['Mila'], ['Benjamin', 'Noah'], ['Noah', 'Benjamin'], ['Noah', 'Benjamin'], ['Noah', 'Benjamin'], ['Mila']]","[{'Noah entered the kitchen': ['Noah']}, {'Mila entered the kitchen': ['Mila', 'Noah']}, {'The pineapple is in the treasure chest': ['Noah', 'Mila']}, {'The treasure chest is in the kitchen': ['Noah', 'Mila']}, {'Mila exited the kitchen': ['Mila', 'Noah']}, {'Mila loves the apple': ['Mila']}, {'Benjamin entered the kitchen': ['Benjamin', 'Noah']}, {'Noah moved the pineapple to the crate': ['Noah', 'Benjamin']}, {'The crate is in the kitchen': ['Noah', 'Benjamin']}, {'Noah exited the kitchen': ['Noah', 'Benjamin']}, {'Mila entered the den': ['Mila']}]",Mila entered the kitchen. The pineapple is in the treasure chest. The treasure chest is in the kitchen. Mila exited the kitchen,"['kitchen', 'treasure chest', 'crate', 'apple', 'den']",treasure chest
1462,second_order_0_tom,second_order_tom,"['James entered the playroom', 'Mia entered the playroom', 'Lily likes the beans', 'The lemon is in the crate', 'The crate is in the playroom', 'James exited the playroom', 'Mia moved the lemon to the suitcase', 'The suitcase is in the playroom', 'Mia exited the playroom', 'James hates the raincoat', 'James entered the bedroom']",Where does James think that Mia searches for the lemon?,James,Mia,"[['James'], ['Mia', 'James'], ['Lily'], ['James', 'Mia'], ['James', 'Mia'], ['James', 'Mia'], ['Mia'], ['Mia'], ['Mia'], ['James'], ['James']]","[{'James entered the playroom': ['James']}, {'Mia entered the playroom': ['Mia', 'James']}, {'Lily likes the beans': ['Lily']}, {'The lemon is in the crate': ['James', 'Mia']}, {'The crate is in the playroom': ['James', 'Mia']}, {'James exited the playroom': ['James', 'Mia']}, {'Mia moved the lemon to the suitcase': ['Mia']}, {'The suitcase is in the playroom': ['Mia']}, {'Mia exited the playroom': ['Mia']}, {'James hates the raincoat': ['James']}, {'James entered the bedroom': ['James']}]",Mia entered the playroom. The lemon is in the crate. The crate is in the playroom. James exited the playroom,"['raincoat', 'playroom', 'beans', 'crate', 'bedroom', 'suitcase']",crate
830,second_order_1_tom,second_order_tom,"['Amelia entered the front yard', 'Chloe entered the front yard', 'Isla entered the front yard', 'The peas is in the drawer', 'The drawer is in the front yard', 'Isla exited the front yard', 'Amelia exited the front yard', 'Chloe moved the peas to the cupboard', 'The cupboard is in the front yard', 'Chloe exited the front yard', 'Isla entered the hall']",Where does Isla think that Chloe searches for the peas?,Isla,Chloe,"[['Amelia'], ['Chloe', 'Amelia'], ['Isla', 'Amelia', 'Chloe'], ['Amelia', 'Chloe', 'Isla'], ['Amelia', 'Chloe', 'Isla'], ['Isla', 'Amelia', 'Chloe'], ['Amelia', 'Chloe'], ['Chloe'], ['Chloe'], ['Chloe'], ['Isla']]","[{'Amelia entered the front yard': ['Amelia']}, {'Chloe entered the front yard': ['Chloe', 'Amelia']}, {'Isla entered the front yard': ['Isla', 'Amelia', 'Chloe']}, {'The peas is in the drawer': ['Amelia', 'Chloe', 'Isla']}, {'The drawer is in the front yard': ['Amelia', 'Chloe', 'Isla']}, {'Isla exited the front yard': ['Isla', 'Amelia', 'Chloe']}, {'Amelia exited the front yard': ['Amelia', 'Chloe']}, {'Chloe moved the peas to the cupboard': ['Chloe']}, {'The cupboard is in the front yard': ['Chloe']}, {'Chloe exited the front yard': ['Chloe']}, {'Isla entered the hall': ['Isla']}]",Isla entered the front yard. The peas is in the drawer. The drawer is in the front yard. Isla exited the front yard,"['hall', 'drawer', 'cupboard', 'front yard']",drawer
1152,first_order_1_tom,first_order_tom,"['Ethan entered the attic', 'Emily entered the attic', 'The turnip is in the drawer', 'The drawer is in the attic', 'Ethan dislikes the grapes', 'Emily exited the attic', 'Ethan moved the turnip to the bucket', 'The bucket is in the attic', 'Emily entered the garden']",Where will Emily look for the turnip?,Emily,,"[['Ethan'], ['Emily', 'Ethan'], ['Ethan', 'Emily'], ['Ethan', 'Emily'], ['Ethan'], ['Emily', 'Ethan'], ['Ethan'], ['Ethan'], ['Emily']]","[{'Ethan entered the attic': ['Ethan']}, {'Emily entered the attic': ['Emily', 'Ethan']}, {'The turnip is in the drawer': ['Ethan', 'Emily']}, {'The drawer is in the attic': ['Ethan', 'Emily']}, {'Ethan dislikes the grapes': ['Ethan']}, {'Emily exited the attic': ['Emily', 'Ethan']}, {'Ethan moved the turnip to the bucket': ['Ethan']}, {'The bucket is in the attic': ['Ethan']}, {'Emily entered the garden': ['Emily']}]",Emily entered the attic. The turnip is in the drawer. The drawer is in the attic. Emily exited the attic. Emily entered the garden,"['garden', 'attic', 'grapes', 'bucket', 'drawer']",drawer
1211,second_order_1_tom,second_order_tom,"['Owen entered the office', 'Hunter entered the office', 'The peas is in the crate', 'The crate is in the office', 'Logan entered the closet', 'Hunter exited the office', 'Owen moved the peas to the pantry', 'The pantry is in the office']",Where does Hunter think that Owen searches for the peas?,Hunter,Owen,"[['Owen'], ['Hunter', 'Owen'], ['Owen', 'Hunter'], ['Owen', 'Hunter'], ['Logan'], ['Hunter', 'Owen'], ['Owen'], ['Owen']]","[{'Owen entered the office': ['Owen']}, {'Hunter entered the office': ['Hunter', 'Owen']}, {'The peas is in the crate': ['Owen', 'Hunter']}, {'The crate is in the office': ['Owen', 'Hunter']}, {'Logan entered the closet': ['Logan']}, {'Hunter exited the office': ['Hunter', 'Owen']}, {'Owen moved the peas to the pantry': ['Owen']}, {'The pantry is in the office': ['Owen']}]",Hunter entered the office. The peas is in the crate. The crate is in the office. Hunter exited the office,"['pantry', 'crate', 'closet', 'office']",crate
828,second_order_1_no_tom,second_order_no_tom,"['Hunter entered the staircase', 'Olivia entered the staircase', 'The sweet potato is in the box', 'The box is in the staircase', 'Olivia moved the sweet potato to the container', 'The container is in the staircase', 'Hunter exited the staircase', 'Olivia exited the staircase', 'Hunter entered the porch']",Where does Olivia think that Hunter searches for the sweet potato?,Olivia,Hunter,"[['Hunter'], ['Olivia', 'Hunter'], ['Hunter', 'Olivia'], ['Hunter', 'Olivia'], ['Olivia', 'Hunter'], ['Hunter', 'Olivia'], ['Hunter', 'Olivia'], ['Olivia'], ['Hunter']]","[{'Hunter entered the staircase': ['Hunter']}, {'Olivia entered the staircase': ['Olivia', 'Hunter']}, {'The sweet potato is in the box': ['Hunter', 'Olivia']}, {'The box is in the staircase': ['Hunter', 'Olivia']}, {'Olivia moved the sweet potato to the container': ['Olivia', 'Hunter']}, {'The container is in the staircase': ['Hunter', 'Olivia']}, {'Hunter exited the staircase': ['Hunter', 'Olivia']}, {'Olivia exited the staircase': ['Olivia']}, {'Hunter entered the porch': ['Hunter']}]",Olivia entered the staircase. The sweet potato is in the box. The box is in the staircase. Olivia moved the sweet potato to the container. The container is in the staircase. Hunter exited the staircase,"['porch', 'staircase', 'container', 'box']",container
679,second_order_1_no_tom,second_order_no_tom,"['Mila entered the study', 'Aiden entered the study', 'The cap is in the bathtub', 'The bathtub is in the study', 'Mila moved the cap to the basket', 'The basket is in the study', 'Aiden exited the study']",Where does Aiden think that Mila searches for the cap?,Aiden,Mila,"[['Mila'], ['Aiden', 'Mila'], ['Mila', 'Aiden'], ['Mila', 'Aiden'], ['Mila', 'Aiden'], ['Mila', 'Aiden'], ['Aiden', 'Mila']]","[{'Mila entered the study': ['Mila']}, {'Aiden entered the study': ['Aiden', 'Mila']}, {'The cap is in the bathtub': ['Mila', 'Aiden']}, {'The bathtub is in the study': ['Mila', 'Aiden']}, {'Mila moved the cap to the basket': ['Mila', 'Aiden']}, {'The basket is in the study': ['Mila', 'Aiden']}, {'Aiden exited the study': ['Aiden', 'Mila']}]",Aiden entered the study. The cap is in the bathtub. The bathtub is in the study. Mila moved the cap to the basket. The basket is in the study. Aiden exited the study,"['study', 'bathtub', 'basket']",basket
318,second_order_0_no_tom,second_order_no_tom,"['Aiden entered the dining room', 'Nathan entered the dining room', 'The eggplant is in the basket', 'The basket is in the dining room', 'Aiden moved the eggplant to the bucket', 'The bucket is in the dining room', 'Nathan exited the dining room', 'Lucas entered the dining room', 'Lucas exited the dining room', 'Nathan entered the dining room']",Where does Aiden think that Nathan searches for the eggplant?,Aiden,Nathan,"[['Aiden'], ['Nathan', 'Aiden'], ['Aiden', 'Nathan'], ['Aiden', 'Nathan'], ['Aiden', 'Nathan'], ['Aiden', 'Nathan'], ['Nathan', 'Aiden'], ['Lucas', 'Aiden'], ['Lucas', 'Aiden'], ['Nathan', 'Aiden']]","[{'Aiden entered the dining room': ['Aiden']}, {'Nathan entered the dining room': ['Nathan', 'Aiden']}, {'The eggplant is in the basket': ['Aiden', 'Nathan']}, {'The basket is in the dining room': ['Aiden', 'Nathan']}, {'Aiden moved the eggplant to the bucket': ['Aiden', 'Nathan']}, {'The bucket is in the dining room': ['Aiden', 'Nathan']}, {'Nathan exited the dining room': ['Nathan', 'Aiden']}, {'Lucas entered the dining room': ['Lucas', 'Aiden']}, {'Lucas exited the dining room': ['Lucas', 'Aiden']}, {'Nathan entered the dining room': ['Nathan', 'Aiden']}]",Nathan entered the dining room. The eggplant is in the basket. The basket is in the dining room. Aiden moved the eggplant to the bucket. The bucket is in the dining room. Nathan exited the dining room. Nathan entered the dining room,"['bucket', 'basket', 'dining room']",bucket
374,second_order_1_no_tom,second_order_no_tom,"['Emma entered the den', 'Hunter entered the den', 'The grapefruit is in the container', 'The container is in the den', 'Emma moved the grapefruit to the treasure chest', 'The treasure chest is in the den', 'Hunter exited the den', 'Emma exited the den', 'Hunter entered the den']",Where does Hunter think that Emma searches for the grapefruit?,Hunter,Emma,"[['Emma'], ['Hunter', 'Emma'], ['Emma', 'Hunter'], ['Emma', 'Hunter'], ['Emma', 'Hunter'], ['Emma', 'Hunter'], ['Hunter', 'Emma'], ['Emma'], ['Hunter']]","[{'Emma entered the den': ['Emma']}, {'Hunter entered the den': ['Hunter', 'Emma']}, {'The grapefruit is in the container': ['Emma', 'Hunter']}, {'The container is in the den': ['Emma', 'Hunter']}, {'Emma moved the grapefruit to the treasure chest': ['Emma', 'Hunter']}, {'The treasure chest is in the den': ['Emma', 'Hunter']}, {'Hunter exited the den': ['Hunter', 'Emma']}, {'Emma exited the den': ['Emma']}, {'Hunter entered the den': ['Hunter']}]",Hunter entered the den. The grapefruit is in the container. The container is in the den. Emma moved the grapefruit to the treasure chest. The treasure chest is in the den. Hunter exited the den,"['treasure chest', 'container', 'den']",treasure chest
420,second_order_0_tom,second_order_tom,"['Ethan entered the hallway', 'Ethan likes the peach', 'Sophia entered the hallway', 'The radish is in the box', 'The box is in the hallway', 'Sophia exited the hallway', 'Ethan moved the radish to the bucket', 'The bucket is in the hallway', 'Sophia dislikes the pants']",Where does Ethan think that Sophia searches for the radish?,Ethan,Sophia,"[['Ethan'], ['Ethan'], ['Sophia', 'Ethan'], ['Ethan', 'Sophia'], ['Ethan', 'Sophia'], ['Sophia', 'Ethan'], ['Ethan'], ['Ethan'], ['Sophia']]","[{'Ethan entered the hallway': ['Ethan']}, {'Ethan likes the peach': ['Ethan']}, {'Sophia entered the hallway': ['Sophia', 'Ethan']}, {'The radish is in the box': ['Ethan', 'Sophia']}, {'The box is in the hallway': ['Ethan', 'Sophia']}, {'Sophia exited the hallway': ['Sophia', 'Ethan']}, {'Ethan moved the radish to the bucket': ['Ethan']}, {'The bucket is in the hallway': ['Ethan']}, {'Sophia dislikes the pants': ['Sophia']}]",Sophia entered the hallway. The radish is in the box. The box is in the hallway. Sophia exited the hallway,"['bucket', 'box', 'hallway', 'pants', 'peach']",box
1460,first_order_0_tom,first_order_tom,"['Hunter entered the study', 'Hannah entered the bathroom', 'Ella entered the study', 'The raincoat is in the envelope', 'The envelope is in the study', 'Hunter exited the study', 'Ella moved the raincoat to the crate', 'The crate is in the study', 'Hunter entered the bathroom']",Where will Hunter look for the raincoat?,Hunter,,"[['Hunter'], ['Hannah'], ['Ella', 'Hunter'], ['Hunter', 'Ella'], ['Hunter', 'Ella'], ['Hunter', 'Ella'], ['Ella'], ['Ella'], ['Hunter', 'Hannah']]","[{'Hunter entered the study': ['Hunter']}, {'Hannah entered the bathroom': ['Hannah']}, {'Ella entered the study': ['Ella', 'Hunter']}, {'The raincoat is in the envelope': ['Hunter', 'Ella']}, {'The envelope is in the study': ['Hunter', 'Ella']}, {'Hunter exited the study': ['Hunter', 'Ella']}, {'Ella moved the raincoat to the crate': ['Ella']}, {'The crate is in the study': ['Ella']}, {'Hunter entered the bathroom': ['Hunter', 'Hannah']}]",Hunter entered the study. Ella entered the study. The raincoat is in the envelope. The envelope is in the study. Hunter exited the study. Hunter entered the bathroom,"['study', 'bathroom', 'crate', 'envelope']",envelope
601,second_order_0_no_tom,second_order_no_tom,"['Benjamin entered the garden', 'Nathan entered the garden', 'Nathan exited the garden', 'Benjamin hates the pumpkin', 'Mila entered the garden', 'The socks is in the drawer', 'The drawer is in the garden', 'Mila moved the socks to the basket', 'The basket is in the garden', 'Benjamin exited the garden']",Where does Benjamin think that Mila searches for the socks?,Benjamin,Mila,"[['Benjamin'], ['Nathan', 'Benjamin'], ['Nathan', 'Benjamin'], ['Benjamin'], ['Mila', 'Benjamin'], ['Benjamin', 'Mila'], ['Benjamin', 'Mila'], ['Mila', 'Benjamin'], ['Benjamin', 'Mila'], ['Benjamin', 'Mila']]","[{'Benjamin entered the garden': ['Benjamin']}, {'Nathan entered the garden': ['Nathan', 'Benjamin']}, {'Nathan exited the garden': ['Nathan', 'Benjamin']}, {'Benjamin hates the pumpkin': ['Benjamin']}, {'Mila entered the garden': ['Mila', 'Benjamin']}, {'The socks is in the drawer': ['Benjamin', 'Mila']}, {'The drawer is in the garden': ['Benjamin', 'Mila']}, {'Mila moved the socks to the basket': ['Mila', 'Benjamin']}, {'The basket is in the garden': ['Benjamin', 'Mila']}, {'Benjamin exited the garden': ['Benjamin', 'Mila']}]",Mila entered the garden. The socks is in the drawer. The drawer is in the garden. Mila moved the socks to the basket. The basket is in the garden. Benjamin exited the garden,"['garden', 'pumpkin', 'basket', 'drawer']",basket
