,Unnamed: 0,part_id,utterance,utterance_symbol_removed,perceivers
48,48,3-1,"Elena: Of course, Silas! We'd love to hear it.",Elena: Of course Silas Wed love to hear it,"['Kobe', 'Elena', 'Richard', 'Silas']"
49,49,3-1,"Silas: Okay, brace yourselves. When my son was about four, we went to a zoo. He was so fascinated by all the animals and spent hours just watching them. When we were about to leave, he looked up at me with the most serious expression and asked, “Dad, can we bring a lion home?”",Silas: Okay brace yourselves When my son was about four we went to a zoo He was so fascinated by all the animals and spent hours just watching them When we were about to leave he looked up at me with the most serious expression and asked “Dad can we bring a lion home”,"['Kobe', 'Elena', 'Richard', 'Silas']"
50,50,3-1,Everyone: (Laughs),Everyone: Laughs,"['Kobe', 'Elena', 'Richard', 'Silas']"
51,51,3-1,"Richard: That's adorable, Silas! Children's innocent questions and observations can be so entertaining!",Richard: Thats adorable Silas Childrens innocent questions and observations can be so entertaining,"['Kobe', 'Elena', 'Richard', 'Silas']"
52,52,3-1,"Silas: True, Richard. It was a moment I'll never forget. He was so disappointed when I had to explain why having a lion at home was not practical.",Silas: True Richard It was a moment Ill never forget He was so disappointed when I had to explain why having a lion at home was not practical,"['Kobe', 'Elena', 'Richard', 'Silas']"
53,53,3-1,"Elena: That’s cute and hilarious! And you're right, these are the moments that make all the struggles and challenges worth it.",Elena: Thats cute and hilarious And youre right these are the moments that make all the struggles and challenges worth it,"['Kobe', 'Elena', 'Richard', 'Silas']"
54,54,3-1,"Kobe: I couldn’t have put it better myself, Elena. Silas, do keep these stories coming. They make the parenting journey seem even more enriching.",Kobe: I couldnt have put it better myself Elena Silas do keep these stories coming They make the parenting journey seem even more enriching,"['Kobe', 'Elena', 'Richard', 'Silas']"
55,55,3-1,"Silas: Will do, Kobe. And I have plenty where that one came from!",Silas: Will do Kobe And I have plenty where that one came from,"['Kobe', 'Elena', 'Richard', 'Silas']"
56,56,3-1,"Richard: I'm sure you do, Silas. These experiential insights are indeed precious. They remind us of the lighter side of parenting and the joy that comes along with it.",Richard: Im sure you do Silas These experiential insights are indeed precious They remind us of the lighter side of parenting and the joy that comes along with it,"['Kobe', 'Elena', 'Richard', 'Silas']"
57,57,3-1,"Elena: Totally agree with you, Richard. Looking forward to our next chat session already!",Elena: Totally agree with you Richard Looking forward to our next chat session already,"['Kobe', 'Elena', 'Richard', 'Silas']"
58,58,3-1,"Kobe: Definitely, this was a fun and enlightening discussion. Can't wait for the next one!",Kobe: Definitely this was a fun and enlightening discussion Cant wait for the next one,"['Kobe', 'Elena', 'Richard', 'Silas']"
110,110,14-0,"Jamie: Well, ladies, excuse me. I have to go to the restroom. Continue with the conversation; I'm really enjoying it.",Jamie: Well ladies excuse me I have to go to the restroom Continue with the conversation Im really enjoying it,"['Jamie', 'Juliette', 'Aubree']"
111,111,14-0,"Juliette: Of course, Jamie. See you in a bit. Aubree, would you like to share some of your personal experiences regarding political beliefs and values?",Juliette: Of course Jamie See you in a bit Aubree would you like to share some of your personal experiences regarding political beliefs and values,"['Jamie', 'Juliette', 'Aubree']"
112,112,14-0,"Aubree: Well, my core political belief is that everyone deserves equal opportunities regardless of their background or circumstances. This belief was instilled in me from a young age thanks to my parents and has greatly influenced my activism.",Aubree: Well my core political belief is that everyone deserves equal opportunities regardless of their background or circumstances This belief was instilled in me from a young age thanks to my parents and has greatly influenced my activism,"['Juliette', 'Aubree']"
113,113,14-0,"Juliette: I can definitely resonate with that, Aubree. Equality and justice form my political bedrock too.",Juliette: I can definitely resonate with that Aubree Equality and justice form my political bedrock too,"['Juliette', 'Aubree']"
114,114,14-0,"Aubree: My high school experience strengthened those beliefs. During the student protests, we were fighting for the rights of all students, not just a select few. It was a valuable lesson—making me realize the importance of collective action.",Aubree: My high school experience strengthened those beliefs During the student protests we were fighting for the rights of all students not just a select few It was a valuable lesson—making me realize the importance of collective action,"['Juliette', 'Aubree']"
115,115,14-0,"Juliette: Couldn't agree more! Protests allow us to voice our concerns and demand action. It's inspiring how such collective actions can lead to meaningful changes, isn't it?",Juliette: Couldnt agree more Protests allow us to voice our concerns and demand action Its inspiring how such collective actions can lead to meaningful changes isnt it,"['Juliette', 'Aubree']"
116,116,14-0,"Aubree: Absolutely, Juliette. Even though it's challenging at times, I wouldn’t change a thing. Our actions, no matter how small, have the power to shape the world around us.",Aubree: Absolutely Juliette Even though its challenging at times I wouldnt change a thing Our actions no matter how small have the power to shape the world around us,"['Juliette', 'Aubree']"
117,117,14-0,"Juliette: I couldn't have said it better, Aubree! So, should we take a short break now before Jamie comes back?",Juliette: I couldnt have said it better Aubree So should we take a short break now before Jamie comes back,"['Juliette', 'Aubree']"
118,118,14-0,Aubree: Sounds like a plan!,Aubree: Sounds like a plan,"['Juliette', 'Aubree']"
119,119,14-0,"Jamie: Alright, I'm back! Hope I didn't miss too much. How about we talk about our experiences in contributing to elections?",Jamie: Alright Im back Hope I didnt miss too much How about we talk about our experiences in contributing to elections,"['Juliette', 'Aubree', 'Jamie']"
120,120,14-0,"Juliette: That's a brilliant idea, Jamie! Elections are a significant part of political engagement. They can be mechanisms of change if we participate thoughtfully.",Juliette: Thats a brilliant idea Jamie Elections are a significant part of political engagement They can be mechanisms of change if we participate thoughtfully,"['Juliette', 'Aubree', 'Jamie']"
121,121,14-0,"Aubree: Agreed. I've had the opportunity to volunteer for several campaign activities like door-to-door canvassing, registering voters, and even making campaign calls. It's quite an enlightening experience.",Aubree: Agreed Ive had the opportunity to volunteer for several campaign activities like doortodoor canvassing registering voters and even making campaign calls Its quite an enlightening experience,"['Juliette', 'Aubree', 'Jamie']"
122,122,14-0,"Jamie: That sounds fulfilling, Aubree. I wish I could say the same. This was actually the first election cycle I volunteered in, working mainly on voter education initiatives. It taught me how involved politics truly are in our everyday lives.",Jamie: That sounds fulfilling Aubree I wish I could say the same This was actually the first election cycle I volunteered in working mainly on voter education initiatives It taught me how involved politics truly are in our everyday lives,"['Juliette', 'Aubree', 'Jamie']"
123,123,14-0,"Juliette: It sounds like you've made significant strides nonetheless, Jamie. As for me, I remember helping to organize rallies and debates during my university days. It was amazing seeing so many people come together, eager to engage in the political process.",Juliette: It sounds like youve made significant strides nonetheless Jamie As for me I remember helping to organize rallies and debates during my university days It was amazing seeing so many people come together eager to engage in the political process,"['Juliette', 'Aubree', 'Jamie']"
124,124,14-0,"Jamie: That must have been quite the sight, Juliette.",Jamie: That must have been quite the sight Juliette,"['Juliette', 'Aubree', 'Jamie']"
125,125,14-0,"Aubree: Definitely! On a personal level, campaigning also allowed me to interact with individuals from various backgrounds, and it broadened my perspective on the political spectrum.",Aubree: Definitely On a personal level campaigning also allowed me to interact with individuals from various backgrounds and it broadened my perspective on the political spectrum,"['Juliette', 'Aubree', 'Jamie']"
126,126,14-0,"Juliette: Same here, Aubree. Communicating about political values and principles during such activities can help bridge divides and encourage mutual understanding.",Juliette: Same here Aubree Communicating about political values and principles during such activities can help bridge divides and encourage mutual understanding,"['Juliette', 'Aubree', 'Jamie']"
127,127,14-0,Jamie: Absolutely! I guess that's what's most significant about engaging in elections or political activities: Absolutely! I guess that's what's most significant about engaging in elections or political activities: They help create these shared experiences and understanding that we're in this together!,Jamie: Absolutely I guess thats whats most significant about engaging in elections or political activities Absolutely I guess thats whats most significant about engaging in elections or political activities They help create these shared experiences and understanding that were in this together,"['Juliette', 'Aubree', 'Jamie']"
128,128,14-0,"Juliette: Rightly put, Jamie! We should head towards a culture of dialogue rather than division, and active political engagement can indeed pave the way.",Juliette: Rightly put Jamie We should head towards a culture of dialogue rather than division and active political engagement can indeed pave the way,"['Juliette', 'Aubree', 'Jamie']"
129,129,18-0,"Gabriela: Hi Mia, it’s really great to meet you. Being a food lover, I always enjoy talking about cooking and food. What's your favorite way to prepare a meal?",Gabriela: Hi Mia its really great to meet you Being a food lover I always enjoy talking about cooking and food Whats your favorite way to prepare a meal,"['Gabriela', 'Mia']"
130,130,18-0,"Mia: Nice meeting you too, Gabriela. I like to keep things simple, so roasting is my go-to method. It’s so versatile and gives a really rich flavor to the food. What about you?",Mia: Nice meeting you too Gabriela I like to keep things simple so roasting is my goto method Its so versatile and gives a really rich flavor to the food What about you,"['Gabriela', 'Mia']"
131,131,18-0,"Gabriela: Oh, that's absolutely true about roasting, it's such a hearty technique. But for me, I am a huge fan of grilling. Especially in the summer, there's just something about that smoky flavor that's irresistible.",Gabriela: Oh thats absolutely true about roasting its such a hearty technique But for me I am a huge fan of grilling Especially in the summer theres just something about that smoky flavor thats irresistible,"['Gabriela', 'Mia']"
132,132,18-0,"Mia: I totally agree, plus grilling is a great way to keep things healthy. And do you have a favorite recipe for the grill?",Mia: I totally agree plus grilling is a great way to keep things healthy And do you have a favorite recipe for the grill,"['Gabriela', 'Mia']"
133,133,18-0,"Gabriela: Yes, actually. I love grilling salmon. I usually marinate it with some lemon juice, olive oil, garlic, and fresh herbs, then grill it to perfection. It's really delicious. How about you? Any favorite roasted recipes?",Gabriela: Yes actually I love grilling salmon I usually marinate it with some lemon juice olive oil garlic and fresh herbs then grill it to perfection Its really delicious How about you Any favorite roasted recipes,"['Gabriela', 'Mia']"
134,134,18-0,"Mia: That sounds really tasty. My favorite is a classic roast chicken with a twist. I stuff the chicken with lemon and garlic, and coat the outside with a mixture of honey and soy sauce. It's got a great balance of flavors and the chicken is always perfectly juicy.",Mia: That sounds really tasty My favorite is a classic roast chicken with a twist I stuff the chicken with lemon and garlic and coat the outside with a mixture of honey and soy sauce Its got a great balance of flavors and the chicken is always perfectly juicy,"['Gabriela', 'Mia']"
135,135,18-0,"Gabriela: Wow, Mia! That sounds lovely. I'm definitely going to try that one out. I really appreciate the tips.",Gabriela: Wow Mia That sounds lovely Im definitely going to try that one out I really appreciate the tips,"['Gabriela', 'Mia']"
136,136,18-0,"Mia: Likewise, Gabriela! I think I'll experiment with some grilling this summer, starting with your salmon recipe. I'm sure my family will love it.",Mia: Likewise Gabriela I think Ill experiment with some grilling this summer starting with your salmon recipe Im sure my family will love it,"['Gabriela', 'Mia']"
137,137,18-0,"Emily: Hi Gabriela, Mia, I hope I'm not interrupting. What were you guys discussing?",Emily: Hi Gabriela Mia I hope Im not interrupting What were you guys discussing,"['Gabriela', 'Mia', 'Emily']"
138,138,18-0,"Gabriela: Not at all, Emily. We were just talking about our favored cooking methods and recipes. How about you, do you like to cook?",Gabriela: Not at all Emily We were just talking about our favored cooking methods and recipes How about you do you like to cook,"['Gabriela', 'Mia', 'Emily']"
139,139,18-0,"Emily: Oh, I love cooking! I have a bit different taste, I think. I am a huge fan of Asian cuisine. I love the use of different spices, herbs, and sauces.",Emily: Oh I love cooking I have a bit different taste I think I am a huge fan of Asian cuisine I love the use of different spices herbs and sauces,"['Gabriela', 'Mia', 'Emily']"
140,140,18-0,"Mia: That's interesting, Emily. Asian cuisine is indeed a vast and flavorful one. Do you have any preferred dishes in that category?",Mia: Thats interesting Emily Asian cuisine is indeed a vast and flavorful one Do you have any preferred dishes in that category,"['Gabriela', 'Mia', 'Emily']"
141,141,18-0,"Emily: Definitely, I can't get enough of Thai green curry. It's so heart-warming and satisfying. When it comes to cooking, I enjoy stir-frying. It’s quick, easy and can be really healthy.",Emily: Definitely I cant get enough of Thai green curry Its so heartwarming and satisfying When it comes to cooking I enjoy stirfrying Its quick easy and can be really healthy,"['Gabriela', 'Mia', 'Emily']"
142,142,18-0,"Gabriela: That's fascinating. I must admit, I’m not an expert in Asian dishes. Can you share more about preparing this Thai green curry?",Gabriela: Thats fascinating I must admit Im not an expert in Asian dishes Can you share more about preparing this Thai green curry,"['Gabriela', 'Mia', 'Emily']"
143,143,18-0,"Emily: Of course, Gabriela. I use coconut milk, green curry paste, chicken or tofu for proteins, and a bunch of vegetables. It takes a bit of time but trust me, it's worth it.",Emily: Of course Gabriela I use coconut milk green curry paste chicken or tofu for proteins and a bunch of vegetables It takes a bit of time but trust me its worth it,"['Gabriela', 'Mia', 'Emily']"
144,144,18-0,Mia: Sounds interesting. I think I might try that one. A Thai green curry night could be a lot of fun.,Mia: Sounds interesting I think I might try that one A Thai green curry night could be a lot of fun,"['Gabriela', 'Mia', 'Emily']"
145,145,18-0,"Emily: Trust me, it's delicious! I'd be happy to guide you through it anytime.",Emily: Trust me its delicious Id be happy to guide you through it anytime,"['Gabriela', 'Mia', 'Emily']"
146,146,18-1,"Gabriela: I wish I could stay and chat more about your favorite restaurants, but I need to go recharge my cellphone.",Gabriela: I wish I could stay and chat more about your favorite restaurants but I need to go recharge my cellphone,"['Gabriela', 'Mia', 'Emily']"
147,147,18-1,"Emily: Not a problem, Gabriela! We'll catch up later.",Emily: Not a problem Gabriela Well catch up later,"['Gabriela', 'Mia', 'Emily']"
148,148,18-1,"Mia: Sure, Gabriela. We'll exchange more recipes next time.",Mia: Sure Gabriela Well exchange more recipes next time,"['Gabriela', 'Mia', 'Emily']"
149,149,18-1,Gabriela: I'm looking forward to it! Goodbye for now.,Gabriela: Im looking forward to it Goodbye for now,"['Gabriela', 'Mia', 'Emily']"
150,150,18-1,"Emily: So Mia, do you have a favorite restaurant?",Emily: So Mia do you have a favorite restaurant,"['Mia', 'Emily']"
151,151,18-1,"Mia: Absolutely, there's this great Italian place that I love. It's this cozy little spot that makes an amazing carbonara. How about you, Emily?",Mia: Absolutely theres this great Italian place that I love Its this cozy little spot that makes an amazing carbonara How about you Emily,"['Mia', 'Emily']"
152,152,18-1,"Emily: Well, since I love Asian cuisine, there's a Japanese sushi bar that I always go to. They serve the freshest sushi I've ever tasted. I've fallen in love with the place. Do they serve sushi in your favorite Italian restaurant, Mia?",Emily: Well since I love Asian cuisine theres a Japanese sushi bar that I always go to They serve the freshest sushi Ive ever tasted Ive fallen in love with the place Do they serve sushi in your favorite Italian restaurant Mia,"['Mia', 'Emily']"
153,153,18-1,"Mia: They don't serve sushi, but they have all kinds of pasta and the homemade tiramisu is to die for. I'll have to try your sushi bar sometime.",Mia: They dont serve sushi but they have all kinds of pasta and the homemade tiramisu is to die for Ill have to try your sushi bar sometime,"['Mia', 'Emily']"
154,154,18-1,"Emily: Definitely! If you're a fan of seafood, I really recommend the salmon nigiri. Their sushi chef is a master at his craft. You won't be disappointed!",Emily: Definitely If youre a fan of seafood I really recommend the salmon nigiri Their sushi chef is a master at his craft You wont be disappointed,"['Mia', 'Emily']"
155,155,18-1,"Mia: Sounds incredible! And if you ever want to venture into Italian cuisine, I'm confident you’ll enjoy the carbonara at my favorite place. It's a win-win for both of us.",Mia: Sounds incredible And if you ever want to venture into Italian cuisine Im confident youll enjoy the carbonara at my favorite place Its a winwin for both of us,"['Mia', 'Emily']"
156,156,18-1,"Emily: Agreed, Mia! I'm always up for trying new cuisines. Let's plan for a restaurant swap sometime soon.",Emily: Agreed Mia Im always up for trying new cuisines Lets plan for a restaurant swap sometime soon,"['Mia', 'Emily']"
157,157,18-1,"Mia: I'd really enjoy that, Emily. Let's do it.",Mia: Id really enjoy that Emily Lets do it,"['Mia', 'Emily']"
158,158,18-1,"Gabriela: Hello again, Mia, Emily. Sorry about that. I find it's always interesting to hear about other people's experiences with food.",Gabriela: Hello again Mia Emily Sorry about that I find its always interesting to hear about other peoples experiences with food,"['Mia', 'Emily', 'Gabriela']"
159,159,18-1,"Mia: Absolutely, Gabriela. Speaking of which, did you ever come across any controversial food trends that got you thinking?",Mia: Absolutely Gabriela Speaking of which did you ever come across any controversial food trends that got you thinking,"['Mia', 'Emily', 'Gabriela']"
160,160,18-1,"Gabriela: Well, the gluten-free trend comes to mind. It's controversial because while it's beneficial for those with celiac disease, it's not really necessary for everyone else. There are a lot of misconceptions out there.",Gabriela: Well the glutenfree trend comes to mind Its controversial because while its beneficial for those with celiac disease its not really necessary for everyone else There are a lot of misconceptions out there,"['Mia', 'Emily', 'Gabriela']"
161,161,18-1,"Emily: That's a good point, Gabriela. Remember the Keto Diet frenzy? It was advocated as a quick weight loss method, but many people had concerns about its long-term effects.",Emily: Thats a good point Gabriela Remember the Keto Diet frenzy It was advocated as a quick weight loss method but many people had concerns about its longterm effects,"['Mia', 'Emily', 'Gabriela']"
