,index,question,question_type,set_id
50,50,Does Christian know this information?,tom:info_accessibility:binary,1-0-0
51,51,What strategies does Christian use to manage stress in a high-pressure work environment?,fact,1-0-1
52,52,What does Veronica believe are the strategies that Christian uses to manage stress in a high-pressure work environment?,tom:belief:accessible,1-0-1
53,53,"What does Veronica believe are the strategies that Christian uses to manage stress in a high-pressure work environment?
(a) Veronica does not know the strategies that Christian uses to manage stress in a high-pressure work environment because she was not involved in the conversation when this was discussed.
(b) Veronica believes that Christian manages stress in a high-pressure work environment by engaging in regular exercises and practicing yoga.

Choose an answer from above:",tom:belief:accessible:multiple-choice,1-0-1
54,54,What does Jaiden believe about Veronica's belief regarding the strategies Christian uses to manage stress in a high-pressure work environment?,tom:belief:accessible,1-0-1
55,55,"What does Jaiden believe about Veronica's belief regarding the strategies Christian uses to manage stress in a high-pressure work environment?
(a) Jaiden believes that Veronica is unaware of the strategies Christian uses to manage stress in a high-pressure work environment, because Veronica was not involved in the conversation when this was discussed.
(b) The text provides no information on what Jaiden believes about Veronica's belief regarding the strategies Christian uses to manage stress in a high-pressure work environment. Therefore, it can be stated that Jaiden is unaware about this information.

Choose an answer from above:",tom:belief:accessible:multiple-choice,1-0-1
56,56,What does Christian believe Veronica thinks about the strategies he uses to manage stress in a high-pressure work environment?,tom:belief:accessible,1-0-1
57,57,"What does Christian believe Veronica thinks about the strategies he uses to manage stress in a high-pressure work environment?
(a) The text does not provide information on what Christian believes Veronica thinks about the strategies he uses to manage stress in a high-pressure work environment.
(b) Christian believes that Veronica is unaware of the strategies he uses to manage stress in a high-pressure work environment, since she was not involved in the conversation when this was discussed.

Choose an answer from above:",tom:belief:accessible:multiple-choice,1-0-1
58,58,List all the characters who know the precise correct answer to this question.,tom:answerability:list,1-0-1
59,59,Does Greyson know the precise correct answer to this question?,tom:answerability:binary,1-0-1
60,60,Does Veronica know the precise correct answer to this question?,tom:answerability:binary,1-0-1
61,61,Does Jaiden know the precise correct answer to this question?,tom:answerability:binary,1-0-1
62,62,Does Fatima know the precise correct answer to this question?,tom:answerability:binary,1-0-1
63,63,Does Christian know the precise correct answer to this question?,tom:answerability:binary,1-0-1
64,64,List all the characters who know this information.,tom:info_accessibility:list,1-0-1
65,65,Does Greyson know this information?,tom:info_accessibility:binary,1-0-1
66,66,Does Veronica know this information?,tom:info_accessibility:binary,1-0-1
67,67,Does Jaiden know this information?,tom:info_accessibility:binary,1-0-1
68,68,Does Fatima know this information?,tom:info_accessibility:binary,1-0-1
69,69,Does Christian know this information?,tom:info_accessibility:binary,1-0-1
70,70,What is the Sunday tradition of Kali's family?,fact,2-0-0
71,71,What does Jerry believe is the Sunday tradition of Kali's family?,tom:belief:inaccessible,2-0-0
72,72,"What does Jerry believe is the Sunday tradition of Kali's family?
(a) Jerry is unaware of what the Sunday tradition of Kali's family is because he was not involved in the conversation when this topic was discussed.
(b) Jerry believes that the Sunday tradition of Kali's family is to gather and have brunch together, during which each member shares one positive thing that happened in their week.

Choose an answer from above:",tom:belief:inaccessible:multiple-choice,2-0-0
73,73,What does Emanuel think Jerry believes about the Sunday tradition of Kali's family?,tom:belief:inaccessible,2-0-0
74,74,"What does Emanuel think Jerry believes about the Sunday tradition of Kali's family?
(a) Emanuel thinks Jerry believes that Kali's family tradition is to gather every Sunday for brunch and share one positive thing from their week.
(b) Emanuel thinks that Jerry is unaware about the Sunday tradition of Kali's family because Jerry was not involved in the conversation when this was discussed.

Choose an answer from above:",tom:belief:inaccessible:multiple-choice,2-0-0
75,75,What does Kali believe that Jerry thinks is the Sunday tradition of Kali's family?,tom:belief:inaccessible,2-0-0
76,76,"What does Kali believe that Jerry thinks is the Sunday tradition of Kali's family?
(a) Jerry is unaware of what Kali believes to be the Sunday tradition of her family.
(b) Kali believes that Jerry thinks the Sunday tradition of her family is to gather and have brunch together, where each member shares one positive thing that happened in their week.

Choose an answer from above:",tom:belief:inaccessible:multiple-choice,2-0-0
77,77,List all the characters who know the precise correct answer to this question.,tom:answerability:list,2-0-0
78,78,Does Jerry know the precise correct answer to this question?,tom:answerability:binary,2-0-0
79,79,Does Kali know the precise correct answer to this question?,tom:answerability:binary,2-0-0
80,80,Does Ryder know the precise correct answer to this question?,tom:answerability:binary,2-0-0
81,81,Does Emanuel know the precise correct answer to this question?,tom:answerability:binary,2-0-0
82,82,Does Tristen know the precise correct answer to this question?,tom:answerability:binary,2-0-0
83,83,List all the characters who know this information.,tom:info_accessibility:list,2-0-0
84,84,Does Jerry know this information?,tom:info_accessibility:binary,2-0-0
85,85,Does Kali know this information?,tom:info_accessibility:binary,2-0-0
86,86,Does Ryder know this information?,tom:info_accessibility:binary,2-0-0
87,87,Does Emanuel know this information?,tom:info_accessibility:binary,2-0-0
88,88,Does Tristen know this information?,tom:info_accessibility:binary,2-0-0
89,89,What is the holiday season tradition in Emanuel's family?,fact,2-0-1
90,90,What does Jerry believe is the holiday season tradition in Emanuel's family?,tom:belief:inaccessible,2-0-1
91,91,"What does Jerry believe is the holiday season tradition in Emanuel's family?
(a) Jerry believes that the holiday season tradition in Emanuel's family is hosting a big potluck with their extended family, where everyone brings a dish, spends the day catching up, and participates in a friendly competition for who brings the best dish.
(b) Jerry is unaware of the holiday season tradition in Emanuel's family because he was not involved in the conversation when this was discussed.

Choose an answer from above:",tom:belief:inaccessible:multiple-choice,2-0-1
92,92,What does Kali believe Jerry thinks is the holiday season tradition in Emanuel's family?,tom:belief:inaccessible,2-0-1
93,93,"What does Kali believe Jerry thinks is the holiday season tradition in Emanuel's family?
(a) Kali believes that Jerry is unaware of the holiday season tradition in Emanuel's family because Jerry was not involved in the conversation when this was discussed.
(b) Kali believes Jerry thinks the holiday season tradition in Emanuel's family is hosting a big potluck with their extended family where everyone brings a dish, they spend the day catching up, and they have a friendly competition for who brings the best dish.

Choose an answer from above:",tom:belief:inaccessible:multiple-choice,2-0-1
94,94,What does Emanuel believe that Jerry thinks is the holiday season tradition in Emanuel's family?,tom:belief:inaccessible,2-0-1
95,95,"What does Emanuel believe that Jerry thinks is the holiday season tradition in Emanuel's family?
(a) Emanuel believes that Jerry thinks the holiday season tradition in Emanuel's family is hosting a big potluck with their extended family, where everyone brings a dish, they spend the day catching up, and they have a friendly competition for who brings the best dish.
(b) Emanuel believes that Jerry does not know about the holiday season tradition in his family because Jerry was not part of the conversation when this was discussed.

Choose an answer from above:",tom:belief:inaccessible:multiple-choice,2-0-1
96,96,List all the characters who know the precise correct answer to this question.,tom:answerability:list,2-0-1
97,97,Does Jerry know the precise correct answer to this question?,tom:answerability:binary,2-0-1
98,98,Does Kali know the precise correct answer to this question?,tom:answerability:binary,2-0-1
99,99,Does Ryder know the precise correct answer to this question?,tom:answerability:binary,2-0-1
100,100,Does Emanuel know the precise correct answer to this question?,tom:answerability:binary,2-0-1
101,101,Does Tristen know the precise correct answer to this question?,tom:answerability:binary,2-0-1
102,102,List all the characters who know this information.,tom:info_accessibility:list,2-0-1
103,103,Does Jerry know this information?,tom:info_accessibility:binary,2-0-1
104,104,Does Kali know this information?,tom:info_accessibility:binary,2-0-1
105,105,Does Ryder know this information?,tom:info_accessibility:binary,2-0-1
106,106,Does Emanuel know this information?,tom:info_accessibility:binary,2-0-1
107,107,Does Tristen know this information?,tom:info_accessibility:binary,2-0-1
108,108,Who usually wins the friendly competition for the best dish at Emanuel's family gatherings?,fact,2-0-2
109,109,What does Jerry believe about who usually wins the friendly competition for the best dish at Emanuel's family gatherings?,tom:belief:inaccessible,2-0-2
110,110,"What does Jerry believe about who usually wins the friendly competition for the best dish at Emanuel's family gatherings?
(a) Jerry is unaware about who usually wins the friendly competition for the best dish at Emanuel's family gatherings because he was not involved in the conversation when this was discussed.
(b) Jerry believes that Emanuel's Aunt Martha usually wins the friendly competition for the best dish at Emanuel's family gatherings.

Choose an answer from above:",tom:belief:inaccessible:multiple-choice,2-0-2
111,111,"""What does Kali believe that Jerry thinks about who usually wins the friendly competition for the best dish at Emanuel's family gatherings?""",tom:belief:inaccessible,2-0-2
112,112,"""What does Kali believe that Jerry thinks about who usually wins the friendly competition for the best dish at Emanuel's family gatherings?""
(a) Kali believes that Jerry is unaware or does not know about who usually wins the friendly competition for the best dish at Emanuel's family gatherings because Jerry was not involved in the conversation when this was discussed.
(b) Kali believes that Jerry thinks Emanuel's Aunt Martha usually wins the friendly competition for the best dish at the family gatherings.

Choose an answer from above:",tom:belief:inaccessible:multiple-choice,2-0-2
113,113,What does Emanuel believe Jerry thinks about who usually wins the friendly competition for the best dish at Emanuel's family gatherings?,tom:belief:inaccessible,2-0-2
114,114,"What does Emanuel believe Jerry thinks about who usually wins the friendly competition for the best dish at Emanuel's family gatherings?
(a) Emanuel believes Jerry thinks that Aunt Martha usually wins the friendly competition for the best dish at Emanuel's family gatherings.
(b) Emanuel believes that Jerry is unaware about who usually wins the friendly competition for the best dish at Emanuel's family gatherings because Jerry was not involved in the conversation when this was discussed.

Choose an answer from above:",tom:belief:inaccessible:multiple-choice,2-0-2
115,115,List all the characters who know the precise correct answer to this question.,tom:answerability:list,2-0-2
116,116,Does Jerry know the precise correct answer to this question?,tom:answerability:binary,2-0-2
117,117,Does Kali know the precise correct answer to this question?,tom:answerability:binary,2-0-2
118,118,Does Ryder know the precise correct answer to this question?,tom:answerability:binary,2-0-2
119,119,Does Emanuel know the precise correct answer to this question?,tom:answerability:binary,2-0-2
120,120,Does Tristen know the precise correct answer to this question?,tom:answerability:binary,2-0-2
121,121,List all the characters who know this information.,tom:info_accessibility:list,2-0-2
122,122,Does Jerry know this information?,tom:info_accessibility:binary,2-0-2
123,123,Does Kali know this information?,tom:info_accessibility:binary,2-0-2
124,124,Does Ryder know this information?,tom:info_accessibility:binary,2-0-2
125,125,Does Emanuel know this information?,tom:info_accessibility:binary,2-0-2
126,126,Does Tristen know this information?,tom:info_accessibility:binary,2-0-2
127,127,What is Emanuel's family potluck tradition and who is the current titleholder for the best dish?,fact,2-1-0
128,128,What does Tristen believe about Emanuel's family potluck tradition and who does he think is the current titleholder for the best dish?,tom:belief:inaccessible,2-1-0
129,129,"What does Tristen believe about Emanuel's family potluck tradition and who does he think is the current titleholder for the best dish?
(a) Tristen believes that Emanuel's family potluck tradition involves hosting a large gathering with their extended family during the holidays, where everyone contributes a dish and spend the day reminiscing. There is also a friendly competition for the best dish. He thinks that the current titleholder for the best dish is Emanuel's Aunt Martha, due to her remarkable apple pie.
(b) Tristen is unaware of Emanuel's family potluck tradition and who holds the title for the best dish, as he was not involved in the conversation when these details were discussed.

Choose an answer from above:",tom:belief:inaccessible:multiple-choice,2-1-0
130,130,What does Kali believe that Tristen thinks is Emanuel's family potluck tradition and who does she believe that Tristen thinks is the current titleholder for the best dish?,tom:belief:inaccessible,2-1-0
131,131,"What does Kali believe that Tristen thinks is Emanuel's family potluck tradition and who does she believe that Tristen thinks is the current titleholder for the best dish?
(a) Kali does not know what Tristen thinks about Emanuel's family potluck tradition or who he believes is the current titleholder for the best dish because Tristen was not involved in the conversation when this was discussed.
(b) Kali believes that Tristen thinks Emanuel's family potluck tradition is hosting a large potluck with their extended family during the holiday season, spending the day catching up and having a friendly competition for who can bring the best dish. She also believes that Tristen thinks the current titleholder for the best dish is Emanuel's Aunt Martha, who makes an incredible apple pie.

Choose an answer from above:",tom:belief:inaccessible:multiple-choice,2-1-0
132,132,What does Emanuel believe Tristen thinks is the Emanuel's family potluck tradition and who Tristen believes holds the current title for the best dish?,tom:belief:inaccessible,2-1-0
133,133,"What does Emanuel believe Tristen thinks is the Emanuel's family potluck tradition and who Tristen believes holds the current title for the best dish?
(a) Tristen believes that Emanuel's family potluck tradition involves hosting an extensive potluck with their relatives during the holiday season, including a friendly competition for the best dish. Tristen also believes that Emanuel's Aunt Martha currently holds the title for the best dish with her incredible apple pie.
(b) Emanuel believes that Tristen is unaware or does not know about Emanuel's family potluck tradition or who holds the current title for the best dish. This is because Tristen was not involved in the conversation when these topics were discussed.

Choose an answer from above:",tom:belief:inaccessible:multiple-choice,2-1-0
134,134,List all the characters who know the precise correct answer to this question.,tom:answerability:list,2-1-0
135,135,Does Jerry know the precise correct answer to this question?,tom:answerability:binary,2-1-0
136,136,Does Kali know the precise correct answer to this question?,tom:answerability:binary,2-1-0
137,137,Does Ryder know the precise correct answer to this question?,tom:answerability:binary,2-1-0
138,138,Does Emanuel know the precise correct answer to this question?,tom:answerability:binary,2-1-0
139,139,Does Tristen know the precise correct answer to this question?,tom:answerability:binary,2-1-0
140,140,List all the characters who know this information.,tom:info_accessibility:list,2-1-0
141,141,Does Jerry know this information?,tom:info_accessibility:binary,2-1-0
142,142,Does Kali know this information?,tom:info_accessibility:binary,2-1-0
143,143,Does Ryder know this information?,tom:info_accessibility:binary,2-1-0
144,144,Does Emanuel know this information?,tom:info_accessibility:binary,2-1-0
145,145,Does Tristen know this information?,tom:info_accessibility:binary,2-1-0
146,146,What was the special challenge that Elena faced in parenting as discussed during the conversation?,fact,3-0-0
147,147,What does Richard believe was the special challenge that Elena faced in parenting?,tom:belief:inaccessible,3-0-0
148,148,"What does Richard believe was the special challenge that Elena faced in parenting?
(a) Richard is unaware about the special challenge that Elena faced in parenting as he was not involved in the conversation when this was discussed.
(b) Richard believes that Elena's special challenge in parenting was maintaining a balance between wanting to protect and nurture her child but also letting him learn things by himself.

Choose an answer from above:",tom:belief:inaccessible:multiple-choice,3-0-0
149,149,What does Kobe believe Richard thinks about the special challenge that Elena faced in parenting?,tom:belief:inaccessible,3-0-0
150,150,"What does Kobe believe Richard thinks about the special challenge that Elena faced in parenting?
(a) Kobe believes that Richard thinks Elena's special challenge in parenting was maintaining a balance between wanting to protect and nurture her child but also letting him learn things by himself.
(b) Kobe believes that Richard is unaware about the special challenge that Elena faced in parenting because Richard was not involved in the conversation when this was discussed.

Choose an answer from above:",tom:belief:inaccessible:multiple-choice,3-0-0
151,151,What does Elena believe that Richard thinks about the special challenge she faced in parenting?,tom:belief:inaccessible,3-0-0
152,152,"What does Elena believe that Richard thinks about the special challenge she faced in parenting?
(a) Elena believes that Richard thinks her special challenge in parenting was maintaining a balance between wanting to protect and nurture her child but also letting him learn things by himself.
(b) Elena believes that Richard is unaware of the special challenge she faced in parenting because he was not involved in the conversation when this was discussed.

Choose an answer from above:",tom:belief:inaccessible:multiple-choice,3-0-0
153,153,List all the characters who know the precise correct answer to this question.,tom:answerability:list,3-0-0
154,154,Does Silas know the precise correct answer to this question?,tom:answerability:binary,3-0-0
155,155,Does Jenny know the precise correct answer to this question?,tom:answerability:binary,3-0-0
156,156,Does Elena know the precise correct answer to this question?,tom:answerability:binary,3-0-0
157,157,Does Kobe know the precise correct answer to this question?,tom:answerability:binary,3-0-0
158,158,Does Richard know the precise correct answer to this question?,tom:answerability:binary,3-0-0
159,159,List all the characters who know this information.,tom:info_accessibility:list,3-0-0
160,160,Does Silas know this information?,tom:info_accessibility:binary,3-0-0
161,161,Does Jenny know this information?,tom:info_accessibility:binary,3-0-0
162,162,Does Elena know this information?,tom:info_accessibility:binary,3-0-0
163,163,Does Kobe know this information?,tom:info_accessibility:binary,3-0-0
164,164,Does Richard know this information?,tom:info_accessibility:binary,3-0-0
165,165,What were some of the main points discussed by the group about the pace and style of individual child development?,fact,3-1-0
166,166,What does Silas believe about the pace and style of individual child development discussed by the group?,tom:belief:inaccessible,3-1-0
167,167,"What does Silas believe about the pace and style of individual child development discussed by the group?
(a) Silas is unaware about the pace and style of individual child development discussed by the group because he was not involved in the conversation when this was discussed.
(b) Silas believes that every child has its own pace and style of learning, with no definitive timetable for developmental milestones, and the range of what is considered 'normal' is quite wide. He agrees with the group's emphasis on the uniqueness of each child and the importance of not comparing a child's development with others. Furthermore, he thinks that focusing on enjoying each moment instead of falling into the comparison trap is crucial.

Choose an answer from above:",tom:belief:inaccessible:multiple-choice,3-1-0
168,168,What does Elena believe are Richard's thoughts on the main points the group discussed about the pace and style of individual child development?,tom:belief:accessible,3-1-0
169,169,"What does Elena believe are Richard's thoughts on the main points the group discussed about the pace and style of individual child development?
(a) Elena believes that Richard thinks every child has their own pace and style of learning and there is no definitive timetable for developmental milestones. She thinks he agrees that the range of what is considered 'normal' is quite wide. She also believes he thinks it's important not to compare a child's development with others and that every child is unique. Lastly, she feels that he values the idea of focusing on enjoying each moment instead of falling into the comparison trap.
(b) There is no information to discern Elena's understanding of Richard's thoughts on the main points the group discussed about the pace and style of individual child development.

Choose an answer from above:",tom:belief:accessible:multiple-choice,3-1-0
170,170,List all the characters who know the precise correct answer to this question.,tom:answerability:list,3-1-0
171,171,Does Silas know the precise correct answer to this question?,tom:answerability:binary,3-1-0
172,172,Does Jenny know the precise correct answer to this question?,tom:answerability:binary,3-1-0
173,173,Does Elena know the precise correct answer to this question?,tom:answerability:binary,3-1-0
174,174,Does Kobe know the precise correct answer to this question?,tom:answerability:binary,3-1-0
175,175,Does Richard know the precise correct answer to this question?,tom:answerability:binary,3-1-0
176,176,List all the characters who know this information.,tom:info_accessibility:list,3-1-0
177,177,Does Silas know this information?,tom:info_accessibility:binary,3-1-0
178,178,Does Jenny know this information?,tom:info_accessibility:binary,3-1-0
179,179,Does Elena know this information?,tom:info_accessibility:binary,3-1-0
180,180,Does Kobe know this information?,tom:info_accessibility:binary,3-1-0
181,181,Does Richard know this information?,tom:info_accessibility:binary,3-1-0
182,182,What responsibilities as parents were mentioned and discussed by the group?,fact,3-1-1
183,183,What does Silas believe were the responsibilities as parents mentioned and discussed by the group?,tom:belief:inaccessible,3-1-1
184,184,"What does Silas believe were the responsibilities as parents mentioned and discussed by the group?
(a) Silas is unaware of the discussed responsibilities as parents because he was not involved in the conversation when this topic was discussed.
(b) Silas believes that the responsibilities as parents discussed by the group were fostering emotional connections with their children, creating a safe space for open communication, allowing children to learn on their own yet providing necessary protection and nurturing, and refraining from comparing their children's development with others'. He also understood that balancing career responsibilities with being there for their children and dealing with parenting challenges were a part of parental duties.

Choose an answer from above:",tom:belief:inaccessible:multiple-choice,3-1-1
185,185,What does Kobe believe about Richard's understanding of the responsibilities as parents that were mentioned and discussed by the group?,tom:belief:accessible,3-1-1
186,186,"What does Kobe believe about Richard's understanding of the responsibilities as parents that were mentioned and discussed by the group?
(a) It's hard to discern Kobe's beliefs about Richard's understanding of the responsibilities as parents that were mentioned and discussed by the group.
(b) Kobe believes that Richard understands the responsibilities as parents that were mentioned and discussed by the group, which included fostering emotional connections with their children, creating a safe space for open communication, letting their children learn by themselves while still providing protection and nurturing, avoiding comparisons of their children's development with others, balancing career responsibilities with being present for their children, and dealing with parenting challenges.

Choose an answer from above:",tom:belief:accessible:multiple-choice,3-1-1
187,187,List all the characters who know the precise correct answer to this question.,tom:answerability:list,3-1-1
188,188,Does Silas know the precise correct answer to this question?,tom:answerability:binary,3-1-1
189,189,Does Jenny know the precise correct answer to this question?,tom:answerability:binary,3-1-1
190,190,Does Elena know the precise correct answer to this question?,tom:answerability:binary,3-1-1
191,191,Does Kobe know the precise correct answer to this question?,tom:answerability:binary,3-1-1
192,192,Does Richard know the precise correct answer to this question?,tom:answerability:binary,3-1-1
193,193,List all the characters who know this information.,tom:info_accessibility:list,3-1-1
194,194,Does Silas know this information?,tom:info_accessibility:binary,3-1-1
195,195,Does Jenny know this information?,tom:info_accessibility:binary,3-1-1
196,196,Does Elena know this information?,tom:info_accessibility:binary,3-1-1
197,197,Does Kobe know this information?,tom:info_accessibility:binary,3-1-1
198,198,Does Richard know this information?,tom:info_accessibility:binary,3-1-1
199,199,What was the group's stance on fostering strong emotional connections with their children?,fact,3-1-2
200,200,What does Silas believe about the group's stance on fostering strong emotional connections with their children?,tom:belief:inaccessible,3-1-2
201,201,"What does Silas believe about the group's stance on fostering strong emotional connections with their children?
(a) Silas does not know about the group's stance on fostering strong emotional connections with their children because he was not involved in the conversation when this was discussed.
(b) Silas believes that the group's stance on fostering strong emotional connections with their children is of great importance. He supports the ideas of creating a bond through open communication and making a safe space for emotional growth. He also agrees with the involvement of considerations regarding the child's emotional well-being in conjunction with their physical health.

Choose an answer from above:",tom:belief:inaccessible:multiple-choice,3-1-2
202,202,What does Richard believe about Elena's belief regarding the group's stance on fostering strong emotional connections with their children?,tom:belief:accessible,3-1-2
203,203,"What does Richard believe about Elena's belief regarding the group's stance on fostering strong emotional connections with their children?
(a) Richard is unaware about Elena's belief regarding the group's stance on fostering strong emotional connections with their children.
(b) Richard believes that Elena agrees with the group's stance on fostering strong emotional connections with their children.

Choose an answer from above:",tom:belief:accessible:multiple-choice,3-1-2
204,204,List all the characters who know the precise correct answer to this question.,tom:answerability:list,3-1-2
205,205,Does Silas know the precise correct answer to this question?,tom:answerability:binary,3-1-2
206,206,Does Jenny know the precise correct answer to this question?,tom:answerability:binary,3-1-2
207,207,Does Elena know the precise correct answer to this question?,tom:answerability:binary,3-1-2
208,208,Does Kobe know the precise correct answer to this question?,tom:answerability:binary,3-1-2
209,209,Does Richard know the precise correct answer to this question?,tom:answerability:binary,3-1-2
210,210,List all the characters who know this information.,tom:info_accessibility:list,3-1-2
211,211,Does Silas know this information?,tom:info_accessibility:binary,3-1-2
212,212,Does Jenny know this information?,tom:info_accessibility:binary,3-1-2
213,213,Does Elena know this information?,tom:info_accessibility:binary,3-1-2
214,214,Does Kobe know this information?,tom:info_accessibility:binary,3-1-2
215,215,Does Richard know this information?,tom:info_accessibility:binary,3-1-2
216,216,Who predominantly raised Alayna after her parents separated?,fact,4-0-0
217,217,What does Joaquin believe about who predominantly raised Alayna after her parents separated?,tom:belief:inaccessible,4-0-0
218,218,"What does Joaquin believe about who predominantly raised Alayna after her parents separated?
(a) Joaquin is unaware about who predominantly raised Alayna after her parents separated.
(b) Joaquin believes that Alayna was predominantly raised by her mom and her older sister after her parents separated.

Choose an answer from above:",tom:belief:inaccessible:multiple-choice,4-0-0
219,219,What does Jaden believe about who Joaquin thinks predominantly raised Alayna after her parents separated?,tom:belief:inaccessible,4-0-0
